Name,Effect,StartVal,PerRefinement
Accelerate,[First 3 Round(s)] [Allied Commander] Has a $VAL% chance of performing an additional attack each round,15,15
Aegis,[First 1 Round(s)] [All Allies] $VAL% chance to gain Immunity to Stun and Madness,16.66666667,16.66666667
Alarm,[Each Round] [Commander] $VAL% chance to remove a random debuff while defending,10,10
Amplification,[First 5 Round(s)] [Allied Commander] Focus Damage dealt +$VAL%,5,5
An Eye for an Eye,[Round 7 Onwards] [All Allies] Damage dealt +$VAL%,5,5
Animal Husbandry,[Each 2 Round(s)] [1 Beasts Allied Unit(s)] Damage dealt +$VAL% for 1 round(s),7.5,7.5
Arnor Defence,[Army] Defence (Men) +6/? [Army] Speed (Men) -2/?,,
Arrow Suppression,[First 3 Round(s)] [Against Enemy Ranged Units] Damage dealt -$VAL%,-5,-5
Attunement,[Commander] Focus +$VAL,3,3
Axe Throwers' Vigour,[Allied Axe Throwers' Units] Damage $VAL,-5,-5
Balance Stone,[Commander] Normal attack damage $VAL,10,10
Bane fo Dwarves,[Against Enemy Dwarves Units] Damage received +$VAL%,3,3
Bane of Archers,[Against Enemy Ranged Units] Damage received +$VAL%,3,3
Bane of Dwarves,[Against Enemy Dwarves Units] Damage received +$VAL%,3,3
Bane of Elves,[Against Enemy Elves Units] Damage received +$VAL%,3,3
Bane of Evil Men,[Against Enemy Evil Men Units] Damage received +$VAL%,3,3
Bane of Giants,[Large Units] Damage received +$VAL%,3,3
Bane of Men,[Against Enemy Men Units] Damage received +$VAL%,3,3
Bane of Mounted Units,[Against Enemy Mounted Units] Damage received +$VAL%,3,3
Bane of Orcs,[Against Enemy Orcs Units] Damage received +$VAL%,3,3
Bane of Orcs,[Against Enemy Orcs Units] Damage received +$VAL%,3,3
Bane of Soldiers,[Against Enemy Melee Units] Damage received +$VAL%,3,3
Bane of Uruk-hai,[Against Enemy Uruk-hai Units] Damage received +$VAL%,3,3
Barrier,[First 2 Round(s)] [All Allies] Defense +$VAL%,5,5
Battered,[After Commander Attacks] [Against Target] 50.0% chance of next damage dealt $VAL%,-10,-10
Beasts' Power,[Beasts Allied Unit(s)] Damage dealt +$VAL%,2,2
Beasts' Toughness,[Beasts Allied Unit(s)] Damage received $VAL%,-1.5,-1.5
Blaze,[After the Commander Attacks] [Against Enemy Target] Deals an additional 5.6%/34.0% Burn Damage (effect modified by Focus stat),,
Blight,[After the Commander Performing a Normal Attack] 50.0% chance of dealing an additional 26.6%/160.0% Poison Damage (effect modified by Focus stat),26.66666667,26.66666667
Blinding Barrier,"[Knights] Focus, Burn, and Poison damage received $VAL%",-10,-10
Blitz,[First 4 Round(s)] [Commander and Army] +$VAL% chance of gaining Initiative,,
